timestamp,window_seconds,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,packet_rate_raw,byte_rate_raw,connection_count,unique_destinations,unique_ports,syn_count,established_count,time_wait_count,new_destinations,most_common_destination_count,packet_rate,failed_auth_ratio,connection_burst,destination_change_rate,port_scan_score,protocol_deviation,retransmission_rate,payload_irregularity,device_behavior_shift,request_frequency
1788913554.564553,2.017082452774048,7518,8049,12,13,12.394138854174289,7717.582381717246,25,17,11,0,25,2,1,8,0.37558392144655334,0.09933860783399583,1.0,0.379905792027365,0.3711636825301312,0.28382459381141667,0.35367842198759725,0.20473476797794027,0.6707366563704927,0.5156440923976033
1788913556.6227589,2.0582058429718018,19178,16977,35,38,35.46778387073121,17566.270217072422,24,16,11,0,24,2,0,8,0.5205611361293472,0.03283860783399583,0.05,0.21617540618858333,0.32562963279074064,0.09382459381141667,0.16367842198759722,0.1130742173377206,0.10861754061885834,0.5962465403071613
1788913558.6556573,2.032898426055908,17017,8706,26,16,20.660156681554206,12653.362150467115,24,16,11,0,24,2,0,8,0.44515612052648534,0.02933860783399583,0.0,0.21617540618858333,0.32562963279074064,0.08382459381141666,0.1536784219875972,0.16721267697040498,0.08161754061885833,0.5542907213116949
1788913560.687225,2.0315678119659424,17780,5004,23,29,25.595995217939464,11214.98375087563,25,17,12,1,24,2,1,8,0.4748700386007366,0.22066656300898202,0.05,0.379905792027365,0.4613373064598303,0.20765971815989315,0.22059598416183546,0.12967622990152727,0.18050368124018812,0.570132666790249
1788913562.6951425,2.0079174041748047,7196,3876,19,22,20.419166602547477,5514.1710395952605,25,17,12,1,24,2,0,8,0.4435366798649522,0.21716656300898202,0.0,0.22053661793949794,0.4158032567204397,0.19765971815989314,0.21059598416183545,0.11499081535231964,0.10569292901382801,0.5452622327653583
1788913564.7784345,2.083292007446289,24410,62031,59,97,74.88148538102715,41492.50306295748,24,16,11,0,24,2,0,8,0.6266212738122448,0.03283860783399583,0.05,0.21617540618858333,0.32562963279074064,0.09382459381141667,0.16367842198759722,0.06273545394591051,0.10861754061885834,0.6604208840068275
1788913566.837274,2.0588395595550537,14632,16270,29,36,31.571182756002358,15009.42599270746,24,16,11,0,24,2,0,8,0.5042048884605336,0.02933860783399583,0.0,0.21617540618858333,0.32562963279074064,0.08382459381141666,0.1536784219875972,0.1192331864598073,0.08161754061885833,0.586028960763409
1788913568.855063,2.017788887023926,57765,679306,253,567,406.3854277686271,365286.48003762163,24,16,11,0,24,3,1,8,0.8698759655345644,0.03702120122166523,0.0,0.37554458027645043,0.3711636825301312,0.10577486063332925,0.1939205778277703,0.03950432457868336,0.13381834620960098,0.8102512125075324
1788913570.9292152,2.0741522312164307,14917,2050,3,7,4.82124689282584,8180.209603057603,24,16,11,0,24,3,0,8,0.25496844768961724,0.03702120122166523,0.0,0.21617540618858333,0.32562963279074064,0.10577486063332925,0.1939205778277703,0.3291239525132532,0.08600759398324084,0.4535416054344568
1788913572.9403121,2.011096954345703,38306,163740,81,207,143.20542795198,100465.56908328386,24,16,11,0,24,3,0,8,0.7195564214924708,0.03702120122166523,0.0,0.21617540618858333,0.32562963279074064,0.10577486063332925,0.1939205778277703,0.02712874105254115,0.08600759398324084,0.7183541448043119
